"Median Household Income by Massachusetts Town, 1979-2015",,,,,,,,
,,,,,,,,
Sources:,1980 Census Summary Tape File 3 (STF3),,,,,,,
,1990 Census Summary Tape File 3 (STF3),,,,,,,
,2000 Census Summary File 3 (SF3),,,,,,,
,2010 American Community Survey (ACS) 5-Year Summary File,,,,,,,
,2015 American Community Survey (ACS) 5-Year Summary File,,,,,,,
,,,,,,,,
Notes:,"Household income from the 1980-2000 decennial Census refers to income the previous year (1979, 1989 and 1999). Household income from the American Community Survey refers to income earned during the 12 months prior to completing the questionnaire.",,,,,,,
,,,,,,,,
,,,,,,,,
,"Incomes were adjusted for inflation using the annual average consumer price index for all urban consumers compiled by the U.S. Department of Labor, Bureau of Labor Statistics: 1979=72.6, 1989=124.0, 1999=166.6, 2010=218.1 and 2015=237.0, where the 1982-84 average=100.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,Median Income (adjusted to 2015 Dollars),,,,
Town#,Town,,,1979,1989,1999,2006-10,2011-15
216,Northbridge,,,"$55,728 ","$70,018 ","$71,779 ","$73,910 ","$72,550 "
217,Northfield,,,"$51,089 ","$62,270 ","$69,906 ","$76,725 ","$63,491 "
218,Norton,,,"$65,488 ","$83,831 ","$92,208 ","$84,527 ","$91,438 "
219,Norwell,,,"$91,330 ","$115,560 ","$124,328 ","$118,385 ","$111,628 "
220,Norwood,,,"$71,107 ","$81,813 ","$83,108 ","$78,752 ","$80,532 "
221,Oak Bluffs,,,"$39,314 ","$59,474 ","$59,810 ","$64,282 ","$75,242 "
222,Oakham,,,"$58,786 ","$78,927 ","$86,391 ","$84,103 ","$80,313 "
223,Orange,,,"$40,718 ","$50,212 ","$52,420 ","$46,519 ","$38,585 "
224,Orleans,,,"$53,906 ","$56,419 ","$60,593 ","$61,193 ","$64,861 "
225,Otis,,,"$46,783 ","$58,900 ","$73,245 ","$69,274 ","$61,406 "
226,Oxford,,,"$58,561 ","$70,110 ","$74,305 ","$71,551 ","$66,713 "
227,Palmer,,,"$52,773 ","$59,554 ","$58,956 ","$55,026 ","$51,376 "
228,Paxton,,,"$89,818 ","$93,990 ","$102,480 ","$109,028 ","$91,989 "
229,Peabody,,,"$67,532 ","$76,069 ","$77,998 ","$71,192 ","$60,596 "
230,Pelham,,,"$77,022 ","$93,749 ","$87,259 ","$88,851 ","$90,000 "
231,Pembroke,,,"$68,390 ","$89,701 ","$92,538 ","$87,687 ","$90,790 "
232,Pepperell,,,"$67,274 ","$85,037 ","$92,699 ","$89,166 ","$80,524 "
233,Peru,,,"$58,003 ","$66,299 ","$63,348 ","$71,991 ","$66,354 "
234,Petersham,,,"$61,904 ","$74,661 ","$68,046 ","$67,819 ","$64,000 "
235,Phillipston,,,"$54,863 ","$67,990 ","$66,640 ","$76,602 ","$78,523 "
236,Pittsfield,,,"$51,755 ","$57,314 ","$50,722 ","$46,931 ","$43,916 "
237,Plainfield,,,"$48,245 ","$58,625 ","$52,991 ","$61,998 ","$55,938 "
238,Plainville,,,"$65,736 ","$79,812 ","$81,307 ","$80,027 ","$91,009 "
239,Plymouth,,,"$56,978 ","$76,234 ","$77,782 ","$81,246 ","$76,835 "
240,Plympton,,,"$67,251 ","$88,208 ","$99,644 ","$95,536 ","$90,648 "
241,Princeton,,,"$79,264 ","$100,740 ","$115,218 ","$111,766 ","$114,167 "
242,Provincetown,,,"$32,997 ","$39,157 ","$46,541 ","$48,515 ","$36,958 "
243,Quincy,,,"$56,723 ","$68,535 ","$67,033 ","$64,985 ","$64,155 "
244,Randolph,,,"$70,561 ","$82,652 ","$78,604 ","$70,206 ","$63,681 "
245,Raynham,,,"$72,576 ","$85,714 ","$85,993 ","$82,447 ","$82,995 "
246,Reading,,,"$84,210 ","$100,884 ","$109,622 ","$107,720 ","$107,654 "
247,Rehoboth,,,"$68,570 ","$85,945 ","$92,998 ","$95,188 ","$88,868 "
248,Revere,,,"$49,483 ","$58,598 ","$52,730 ","$54,071 ","$50,886 "
249,Richmond,,,"$71,831 ","$91,469 ","$86,659 ","$95,280 ","$85,972 "
250,Rochester,,,"$62,622 ","$80,274 ","$90,033 ","$103,256 ","$98,958 "
251,Rockland,,,"$56,651 ","$76,069 ","$72,000 ","$70,102 ","$69,247 "
252,Rockport,,,"$53,818 ","$67,268 ","$72,069 ","$76,745 ","$64,839 "
253,Rowe,,,"$65,289 ","$69,626 ","$59,668 ","$50,258 ","$56,477 "
254,Rowley,,,"$64,467 ","$91,679 ","$88,384 ","$81,403 ","$86,820 "
255,Royalston,,,"$49,907 ","$63,709 ","$63,225 ","$65,618 ","$58,750 "
256,Russell,,,"$58,519 ","$70,578 ","$66,292 ","$62,754 ","$68,798 "
257,Rutland,,,"$63,765 ","$84,263 ","$89,403 ","$88,340 ","$94,028 "
258,Salem,,,"$49,457 ","$62,394 ","$62,640 ","$61,917 ","$60,690 "
259,Salisbury,,,"$53,766 ","$68,193 ","$70,147 ","$68,369 ","$69,500 "
260,Sandisfield,,,"$41,622 ","$61,958 ","$65,398 ","$67,819 ","$58,906 "
261,Sandwich,,,"$65,939 ","$83,141 ","$87,132 ","$90,546 ","$83,305 "
262,Saugus,,,"$69,615 ","$80,119 ","$78,669 ","$77,178 ","$77,371 "
263,Savoy,,,"$52,568 ","$63,910 ","$59,004 ","$60,309 ","$53,036 "
264,Scituate,,,"$83,877 ","$99,471 ","$100,815 ","$94,238 ","$102,210 "
